Date,Open Price,Close Price
05-Oct-21,59320.14,59744.88
06-Oct-21,59942,59189.73
07-Oct-21,59632.81,59677.83
08-Oct-21,59960.39,60059.06
11-Oct-21,60099.68,60135.78
12-Oct-21,60045.75,60284.31
13-Oct-21,60619.91,60737.05
14-Oct-21,61088.82,61305.95
18-Oct-21,61817.32,61765.59
19-Oct-21,62156.48,61716.05
20-Oct-21,61800.07,61259.96
21-Oct-21,61557.94,60923.5
22-Oct-21,61044.54,60821.62
25-Oct-21,61398.75,60967.05
26-Oct-21,60997.9,61350.26
27-Oct-21,61499.7,61143.33
28-Oct-21,61081,59984.7
29-Oct-21,59857.33,59306.93
01-Nov-21,59577.48,60138.46
02-Nov-21,60360.61,60029.06
03-Nov-21,60275.21,59771.92
04-Nov-21,60207.97,60067.62
08-Nov-21,60385.76,60545.61
09-Nov-21,60609.72,60433.45
10-Nov-21,60295.26,60352.82
11-Nov-21,60291.7,59919.69
12-Nov-21,60248.04,60686.69
15-Nov-21,60837.4,60718.71
16-Nov-21,60755.38,60322.37
17-Nov-21,60179.93,60008.33
18-Nov-21,59968.75,59636.01
22-Nov-21,59710.48,58465.89
23-Nov-21,57983.95,58664.33
24-Nov-21,58839.32,58340.99
25-Nov-21,58363.93,58795.09
26-Nov-21,58254.79,57107.15
29-Nov-21,57028.04,57260.58
30-Nov-21,57272.08,57064.87
01-Dec-21,57365.85,57684.79
02-Dec-21,57781.48,58461.29
03-Dec-21,58555.58,57696.46
06-Dec-21,57778.01,56747.14
07-Dec-21,57125.98,57633.65
08-Dec-21,58158.56,58649.68
09-Dec-21,58831.41,58807.13
10-Dec-21,58696.71,58786.67
13-Dec-21,59103.72,58283.42
14-Dec-21,58059.76,58117.09
15-Dec-21,58122,57788.03
16-Dec-21,58243.43,57901.14
17-Dec-21,58021.63,57011.74
20-Dec-21,56517.26,55822.01
21-Dec-21,56320.02,56319.01
22-Dec-21,56599.47,56930.56
23-Dec-21,57251.15,57315.28
24-Dec-21,57567.11,57124.31
27-Dec-21,56948.33,57420.24
28-Dec-21,57751.21,57897.48
29-Dec-21,57892.31,57806.49
30-Dec-21,57755.4,57794.32
31-Dec-21,57849.76,58253.82
